#Table 3: Descomposition of the Internal energy differences
Name,IntE,err,ExtE,err,IntLJ,err,IntCRF,err,IntBonds,err,IntAngles,err,IntImproper,err,IntDihedral,err,IntCross,err

Arginine_H+,-2.2363493972562183,0.2373975688671314,-1.611782351585246,2.716887756799877,0.39739596459404997,0.03362108864164185,-2.9671149595202624,0.23667847217780164,0.0,0.0,0.34870676047074867,0.05399134525140226,-0.016059152812797163,0.021822175503615156,0.0007219860066767066,0.05613866299162563,0.0,0.0

Asparagine,-4.40993042387662,0.27415519089190865,-4.730902772534332,2.6446926084026217,0.3738800920936683,0.047944179749600094,-4.701714677205622,0.28063825699831574,0.0,0.0,-0.13652961302552472,0.058107512780692566,0.09285637444484626,0.018855566685769095,-0.038422597431078044,0.03941420945619056,0.0,0.0

Glutamic_Acid,5.0307830079900295,0.7572090110479622,-16.180587562186425,2.728825822226646,-0.08955348227611445,0.10299860806947848,4.604423072351288,0.8724155542001631,0.0,0.0,0.38046649429845864,0.051257497820124336,-0.045863002345531596,0.012862820170829828,0.18130992675655666,0.04308613664137735,0.0,0.0

Glycine,1.9574659924242146,0.11633718611379494,-4.767441704294979,2.669659898784529,0.13878815560744462,0.017079307523130666,1.810162704285253,0.1044452653093357,0.0,0.0,-0.1613823322520031,0.036816241913763245,0.07931950050237552,0.008814423167286398,0.09057796432831429,0.023134033606988028,0.0,0.0

Isoleucine,0.43318539364378034,0.13683968651100942,-1.4030625164495834,2.7315853395694796,0.22858710019669293,0.03612179471824351,-0.024285381214010172,0.11072432865768285,0.0,0.0,0.08431127217355018,0.04236285930319805,0.047025234415623465,0.016764447587287498,0.09754716862155101,0.03561581972258067,0.0,0.0

Phenylalanine,0.8530575886459697,0.15599430309573448,-8.642656792435606,2.8709026532937827,0.11639446030680736,0.02914654654055091,0.35979472089553516,0.12631481063671438,0.0,0.0,-0.07682367852099377,0.054854513669167236,0.2623015000040729,0.027643810625998574,0.19139058579193635,0.04360518490091886,0.0,0.0

Water,2.9179269790284568e-08,5.181660394015837e-08,-2.9185077974002946,4.435674203439248,0.0,0.0,2.9179269790284568e-08,5.181660394015837e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
